Projekt;Bezeichnung;Status
1139;KBB Kitzbühler Bergbahnen;A
1070;Alpine;A
1072;Steffner;A
1031;Schmitten: Integrierte Adressverwaltung;I
1194;KBB: Kurz-Zeiterfassung;I
1125;Schmittenhöhenbahn AG;A
2018;KLEIN - Kleinwalsertaler Bergbahnen;A
3152;BADKK - Bad Kleinkirchheim;A
2077;PLANAI Hochwurzenbahnen Schladming;A
2097;Fisser BB;A
2098;OSEIL;A
2102;Leoganger BB;A
2107;HOKE EDI Strecken Schachinger;A
3079;GERLI - Gerlitzen-Kanzelbahn-Touristik;A
2114;Witter;A
2116;Lfd. Betreuung SBI;A
2112;Demmer Teehaus;A
3101;FIEB - Bergbahnen Fieberbrunn;A
2902;Baumgartner;A
3104;BADKK - Bad Kleinkirchheim;A
3130;FIEB - Bergbahnen Fieberbrunn;A
2071;Steffner;A
3093;KLEIN - Kleinwalsertaler Bergbahnen;A
3041;BFG - Bergbahnen Flachau;A
3044;Hofer Kerzen;A
3060;GERLI - Gerlitzen-Kanzelbahn-Touristik ;A
2128;ERA Elektronik;A
2129;Leoganger BB - lfd. Betreuung;A
2125;VBB Vereinigte Bergbahnen lfd. Betreuung;A